tmid,date,seq_id,exp_time_cmd,exp_time,filter,Alt,Az,current_mean,current_std,alt_std,az_std,electrometer_filename,flag
20240925183406,2024-09-25 18:34:06.617198,44,,0.929759,Empty,31.34964,0.0,-2.4465890000000003e-06,5.4304695929587936e-11,,,/home/estevesjh/Documents/twilightMonitor/DATA/keysighB2987A/202409/20240925_44.npy,False
20240925183413,2024-09-25 18:34:13.558720,45,,0.930827,Empty,22.27033,0.0,-2.4113980000000003e-06,4.99135252211264e-10,,,/home/estevesjh/Documents/twilightMonitor/DATA/keysighB2987A/202409/20240925_45.npy,False
20240925183811,2024-09-25 18:38:11.283269,46,,0.929348,Empty,69.08825,0.0,-1.3452454000000002e-06,1.2308540287134003e-09,,,/home/estevesjh/Documents/twilightMonitor/DATA/keysighB2987A/202409/20240925_46.npy,False
20240925183818,2024-09-25 18:38:18.229651,47,,0.929761,Empty,59.50729,0.0,-2.110256e-06,1.733287050664197e-09,,,/home/estevesjh/Documents/twilightMonitor/DATA/keysighB2987A/202409/20240925_47.npy,False
20240925183825,2024-09-25 18:38:25.192920,48,,0.929471,Empty,49.95798,0.0,-2.474236e-06,2.1001199965716432e-09,,,/home/estevesjh/Documents/twilightMonitor/DATA/keysighB2987A/202409/20240925_48.npy,False
20240925183832,2024-09-25 18:38:32.137883,49,,0.929993,Empty,40.37565,0.0,-2.4241500000000003e-06,5.85866879077431e-10,,,/home/estevesjh/Documents/twilightMonitor/DATA/keysighB2987A/202409/20240925_49.npy,False
20240925183839,2024-09-25 18:38:39.091379,50,,0.9296,Empty,31.14654,0.0,-2.438746e-06,6.384543836484602e-10,,,/home/estevesjh/Documents/twilightMonitor/DATA/keysighB2987A/202409/20240925_50.npy,False
20240925183846,2024-09-25 18:38:46.020653,51,,0.929444,Empty,21.60995,0.0,-2.3970490000000004e-06,4.66378601567371e-10,,,/home/estevesjh/Documents/twilightMonitor/DATA/keysighB2987A/202409/20240925_51.npy,False
20240925184504,2024-09-25 18:45:04.309077,52,,0.929597,Empty,69.30553,0.0,-1.4074051e-06,7.785942460615147e-11,,,/home/estevesjh/Documents/twilightMonitor/DATA/keysighB2987A/202409/20240925_52.npy,False
20240925184511,2024-09-25 18:45:11.261208,53,,0.929426,Empty,60.26298,0.0,-2.14616e-06,2.4919871588751764e-10,,,/home/estevesjh/Documents/twilightMonitor/DATA/keysighB2987A/202409/20240925_53.npy,False
20240925184518,2024-09-25 18:45:18.235237,54,,0.929397,Empty,50.76573,0.0,-2.522076e-06,1.9885673234765639e-10,,,/home/estevesjh/Documents/twilightMonitor/DATA/keysighB2987A/202409/20240925_54.npy,False
20240925184525,2024-09-25 18:45:25.179689,55,,0.929092,Empty,41.28449,0.0,-2.452859e-06,7.105631569398637e-11,,,/home/estevesjh/Documents/twilightMonitor/DATA/keysighB2987A/202409/20240925_55.npy,False
20240925184532,2024-09-25 18:45:32.133559,56,,0.929834,Empty,31.7502,0.0,-2.440147e-06,1.6727522231344048e-10,,,/home/estevesjh/Documents/twilightMonitor/DATA/keysighB2987A/202409/20240925_56.npy,False
20240925184539,2024-09-25 18:45:39.094997,57,,0.929297,Empty,22.20027,0.0,-2.378027e-06,8.843641783787452e-11,,,/home/estevesjh/Documents/twilightMonitor/DATA/keysighB2987A/202409/20240925_57.npy,False
20240925185727,2024-09-25 18:57:27.359415,58,,0.929943,Empty,48.23986,0.0,-2.473432e-06,2.9205478938034337e-10,,,/home/estevesjh/Documents/twilightMonitor/DATA/keysighB2987A/202409/20240925_58.npy,False
20240925185734,2024-09-25 18:57:34.600449,59,,0.930174,Empty,38.71135,0.0,-2.394702e-06,3.7859741150734735e-10,,,/home/estevesjh/Documents/twilightMonitor/DATA/keysighB2987A/202409/20240925_59.npy,False
20240925185741,2024-09-25 18:57:41.840402,60,,0.931201,Empty,29.59926,0.0,-2.418798e-06,9.075241043629716e-11,,,/home/estevesjh/Documents/twilightMonitor/DATA/keysighB2987A/202409/20240925_60.npy,False
20240925185749,2024-09-25 18:57:49.078438,61,,0.930782,Empty,20.14052,0.0,-2.3269450000000003e-06,1.3894243412293807e-10,,,/home/estevesjh/Documents/twilightMonitor/DATA/keysighB2987A/202409/20240925_61.npy,False
20240925185757,2024-09-25 18:57:57.794049,62,,0.93025,Empty,11.02485,0.0,-2.0586212e-06,1.583576963712726e-10,,,/home/estevesjh/Documents/twilightMonitor/DATA/keysighB2987A/202409/20240925_62.npy,False
20240925185806,2024-09-25 18:58:06.502945,63,,0.930452,Empty,1.6675,0.0,-1.7992195000000005e-06,2.992498120300017e-10,,,/home/estevesjh/Documents/twilightMonitor/DATA/keysighB2987A/202409/20240925_63.npy,False
20240925185829,2024-09-25 18:58:29.671228,64,22.083125,22.533049,Empty,89.16991,0.0,-7.154999999999999e+37,4.431757552032827e+37,,,/home/estevesjh/Documents/twilightMonitor/DATA/keysighB2987A/202409/20240925_64.npy,True
20240925185951,2024-09-25 18:59:51.393139,65,,22.531639,Empty,82.1778,29.40638,-7.235109409090908e-06,2.4473397646329783e-09,,,/home/estevesjh/Documents/twilightMonitor/DATA/keysighB2987A/202409/20240925_65.npy,False
20240925190126,2024-09-25 19:01:26.163969,66,,22.533651,Empty,72.55164,29.40638,-7.756208818181818e-07,1.391429185026016e-09,,,/home/estevesjh/Documents/twilightMonitor/DATA/keysighB2987A/202409/20240925_66.npy,False
20240925190300,2024-09-25 19:03:00.966454,67,,22.53245,Empty,63.304,29.40638,-1.1781447136363637e-06,7.321444435203301e-10,,,/home/estevesjh/Documents/twilightMonitor/DATA/keysighB2987A/202409/20240925_67.npy,False
